"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Command & Telemetry Broker","Denial of Service","Created by Rules Engine","Data loss","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1490 - Inhibit System Recovery","Denial of Service"
"Sonoff Micro Device","Information Disclosure","Created by Rules Engine","Data theft via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Device Key Provisioning API","Denial of Service","Created by Rules Engine","Denial of Service (DoS/DDoS) attack on auth endpoints","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"Device Management Service","Denial of Service","Created by Rules Engine","Device performance degradation","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1499 - Endpoint Denial of Service","Denial of Service"
"Device Key Provisioning API","Information Disclosure","Created by Rules Engine","Domain or DNS hijacking redirects users to a malicious site","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1493 - Transmitted Data Manipulation","Information Disclosure"
"Power Status Monitor","Tampering","Created by Rules Engine","Firmware tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Firmware tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","EMB3D - TID-211 - Device Allows Unauthenticated Firmware Installation","Tampering"
"SoftAP Pairing Service","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Smartphone OS Networking Stack","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Home Wi-Fi Router","Information Disclosure","Created by Rules Engine","Inadequate data encryption (Open/legacy protocols)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"User Authentication Service","Information Disclosure","Created by Rules Engine","Information disclosure through improper handling of user data and error messages","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1566.001 - Spearphishing Attachment||ATT&CK Enterprise - T1589.001 - Credentials||ATT&CK Enterprise - T1590 - Gather Victim Network Information||ATT&CK Enterprise - T1592 - Gather Victim Host Information||ATT&CK Enterprise - T1595 - Active Scanning","Information Disclosure"
"User Authentication Service","Tampering","Created by Rules Engine","Injection attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1078.004 - Cloud Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1548.001 - Setuid and Setgid||ATT&CK Enterprise - T1566.002 - Spearphishing Link","Information Disclosure||Tampering"
"Command & Telemetry Broker","Tampering","Created by Rules Engine","Injection attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1197 - BITS Jobs","Tampering"
"Command & Telemetry Broker","Tampering","Created by Rules Engine","Insecure application deployment","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1089 - Disabling Security Tools","Tampering"
"Command & Telemetry Broker","Repudiation","Created by Rules Engine","Insufficient logging and monitoring","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1562 - Impair Defenses","Repudiation"
"Command & Telemetry Broker","Tampering","Created by Rules Engine","Lack of message integrity","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Tampering"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Malware infection via USB","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-115 - Firmware/Data Extraction via Hardware Interface","Tampering"
"SoftAP Pairing Service","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Smartphone OS Networking Stack","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Home Wi-Fi Router","Spoofing","Created by Rules Engine","Physical layer hardware attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195.003 - Compromise Hardware Supply Chain","Spoofing"
"Power Status Monitor","Tampering","Created by Rules Engine","Physical tampering","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-118 - Weak Peripheral Port Electrical Damage Protection","Tampering"
"Power Status Monitor","Tampering","Created by Rules Engine","Power manipulation attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-110 - Hardware Fault Injection – Data Manipulation","Tampering"
"Device Key Provisioning API","Spoofing","Created by Rules Engine","Replay attack using a captured authentication assertion","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"User Authentication Service","Denial of Service","Created by Rules Engine","Resource exhaustion through account enumeration attacks","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1499.001 - OS Exhaustion Flood||ATT&CK Enterprise - T1499.002 - Service Exhaustion Flood||ATT&CK Enterprise - T1499.003 - Application Exhaustion Flood","Denial of Service"
"SoftAP Pairing Service","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Smartphone OS Networking Stack","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Home Wi-Fi Router","Spoofing","Created by Rules Engine","Rogue access point (Evil Twin)","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1557 - Adversary-in-the-Middle","Spoofing"
"Device Key Provisioning API","Information Disclosure","Created by Rules Engine","Server database breach exposes public keys and user data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1213 - Data from Information Repositories","Information Disclosure"
"Command & Telemetry Broker","Denial of Service","Created by Rules Engine","Service disruption from overloading","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Device Management Service","Tampering","Created by Rules Engine","Software vulnerabilities due to outdated versions","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1195 - Supply Chain Compromise","Tampering"
"Power Status Monitor","Elevation of Privilege","Created by Rules Engine","Unauthorized access control","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-311 - Default Credentials","Elevation of Privilege"
"Command & Telemetry Broker","Information Disclosure","Created by Rules Engine","Unauthorized access to brokers","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts","Information Disclosure"
"Device Management Service","Information Disclosure","Created by Rules Engine","Unauthorized access to device data","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1040 - Network Sniffing","Information Disclosure"
"Power Status Monitor","Information Disclosure","Created by Rules Engine","Unauthorized data interception","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-106 - Data Bus Interception","Information Disclosure"
"Sonoff Micro Device","Tampering","Created by Rules Engine","Unauthorized device access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-406 - Unauthorized Messages or Connections","Tampering"
"QR Code (Device Identifier)","Information Disclosure","Created by Rules Engine","Unauthorized or unintentional disclosure of sensitive or confidential information","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1087 - Account Discovery","Spoofing||Tampering||Information Disclosure"
"Command & Telemetry Broker","Information Disclosure","Created by Rules Engine","Unencrypted data in transit","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1552 - Unsecured Credentials","Information Disclosure"
"User Authentication Service","Repudiation","Created by Rules Engine","Unnoticed misbehaviour due to insufficient logging and monitoring","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Medium","Medium","0%","Not tested","Not tested","Medium","Daniele Granata","ATT&CK Enterprise - T1078 - Valid Accounts||ATT&CK Enterprise - T1199 - Trusted Relationship||ATT&CK Enterprise - T1547 - Boot or Logon Autostart Execution||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle||ATT&CK Enterprise - T1562 - Impair Defenses||ATT&CK Enterprise - T1583 - Acquire Infrastructure","Repudiation"
"Sonoff Micro Device","Denial of Service","Created by Rules Engine","USB power abuse","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-119 - Latent Hardware Debug Port Allows Memory/Code Manipulation","Denial of Service"
"Device Key Provisioning API","Information Disclosure","Created by Rules Engine","User account enumeration via login error messages","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1526 - Cloud Service Discovery","Information Disclosure"
"SoftAP Pairing Service","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Smartphone OS Networking Stack","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
"Home Wi-Fi Router","Denial of Service","Created by Rules Engine","Wireless denial of service (DoS) floods","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1498 - Network Denial of Service","Denial of Service"
