"Component","Use case","Source","Threat","Risk Response","Inherent Risk","Current Risk","Countermeasure progress","Weakness tests","Countermeasure tests","Projected Risk","Owner","MITRE reference","STRIDE-LM"
"Web Service","General","Created by Rules Engine","Information can be readily disclosed. For example, through eavesdropping on communications or through allowing unauthorized access to sensitive files or folders","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Introduction of malware","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Introduction of new software or overwrite existing software","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","It is possible to deny legitimate updates","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Manipulation of the connectivity of vehicle functions enables a cyber-attack","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Manipulation of vehicle data/code","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Manipulation of vehicle parameters","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Messages received by the vehicle (for example X2V or diagnostic messages), or transmitted within it, contain malicious content","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Misuse or compromise of update procedures","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Network design introduces vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Parts or supplies could be compromised to permit vehicles to be attacked","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Physical manipulation of systems to enable an attack","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Microcontroller","Tampering","Created by Rules Engine","Physical tampering with STM32 chips to bypass security features","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","EMB3D - TID-310 - Remotely Accessible Unauthenticated Services","Tampering"
"Web Service","General","Created by Rules Engine","Software or hardware development permits vulnerabilities","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Spoofing of messages or data received by the vehicle","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Microcontroller","Information Disclosure","Created by Rules Engine","Unauthorized access through insecure communication protocols in STM32 systems","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","EMB3D - TID-408 - Unencrypted Sensitive Data Communication","Information Disclosure"
"Jetson Nano","Tampering","Created by Rules Engine","Unauthorized Access to Deployed AI/ML Models","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","High","High","0%","Not tested","Not tested","High","Daniele Granata","ATT&CK Enterprise - T1583 - Acquire Infrastructure","Tampering"
"Jetson Nano","Information Disclosure","Created by Rules Engine","Unauthorized network access","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata","ATT&CK Enterprise - T1135 - Network Share Discovery","Information Disclosure"
"PC Controller","General","Created by Rules Engine","Unintended human actions carried out from outside of vehicles","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
"Web Service","General","Created by Rules Engine","Viruses embedded in communication media are able to infect vehicle systems","Planned mitigation: 0%. Mitigated: 0%. Unmitigated: 100%.","Critical","Critical","0%","Not tested","Not tested","Critical","Daniele Granata",,
